well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update,first_struck_level,second_struck_level,third_struck_level,fourth_struck_level,fifth_struck_level,water_rest_level,ec,ph,temperature
,,,Kenya,Marsabit,,,,Laisamis Laga,1.5892313675543126,37.80064487152848,575,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Matare/ Laisamis,1.5896119663101078,37.80184008335215,573,,,Operational,,,,,,,,,,,,3310,7.56,30.4
,,,Kenya,Marsabit,,,,Matare/ Laisamis,1.590291943992364,37.80455413238956,569,,,Broken Down,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Laisamis Laga,1.5912419427270508,37.80497603210561,570,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Laisamis Laga,1.5915889513143626,37.810629433090135,561,,,Operational,,,,,,,,,,,,3052,6.84,30
,C3914,,Kenya,Marsabit,,,,Lengima/ Laisamis,1.599276035745436,37.82380187,543,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Lengima/ Laisamis,1.5984182461037395,37.82643593316537,542,2,,Operational,,,,,,,,,,,,2040,7.54,30.9
,,,Kenya,Marsabit,,,,Laisamis,1.5985819093082068,37.82790992633374,541,,,Not Operational,,,,,8/16/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Baasi/Laisamis,1.5655468583335268,38.233034276816575,383,,,Not Operational,,,,,8/15/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Baasi/Laisamis,1.564578205043582,38.23117385086234,386,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Baasi/Laisamis,1.5528918784627324,38.23571764501936,381,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Tirkamo/ Laisamis,1.6012119876750943,37.90540698722821,491,10,,Operational,,,,,8/15/2014,,,,,,,2950,7.87,37.7
,,,Kenya,Marsabit,,,,Bombisa,2.7446291455593204,38.08741006157524,550,8,,Operational,,,,,8/13/2014,,,,,,,2500,5.44,36.2
,,,Kenya,Marsabit,,,,Bombisa Village,2.7124513625623594,38.09767135176375,574,10,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Bombisa Village,2.707139518545004,38.09520149511802,577,10,,Operational,,,,,,,,,,,,2943,6.49,35.5
,,,Kenya,Marsabit,,,,Bombisa Village,2.706239011424618,38.0886174,580,,,Abandoned,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Bombisa,2.6787452554550515,38.08452694546795,605,,,Abandoned,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,"KBC
Compound",2.383031021761876,38.19805198031084,1153,,,Abandoned,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Qubi Kalo,2.373825195507617,38.14347593326209,736,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Dadachi Qabi,2.370774600328861,38.14019522542749,759,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Qubi Kalo,2.354791370010996,38.17204138,650,,,Abandoned,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,"Qubi Kalo
/Sagante",2.374790426,38.15370985585974,715,13,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Qubi Kalo/ Goro Rukesa,2.3476313424448816,38.16456318312613,665,13,,Operational,,,,,8/13/2014,,,,,,,842,7.75,31
,,,Kenya,Marsabit,,,,Paipai/ Maikona,2.7912795494018146,37.68018757477531,388,,,Contaminat ed,,,,,8/12/2014,,,,,,,1650,5.85,35.2
,,,Kenya,Marsabit,,,,Tallow Cpd/Maikona,2.797933329,37.68544222812219,393,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Boji/Maikona,2.8891516863876463,37.64166504,373,,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Maikona,2.900751165046494,37.63035268827157,367,,,Operational,,,,,,,,,,,,1300,6.01,29.6
,,,Kenya,Marsabit,,,,Maikona Pry Sch,2.9309849772910934,37.63616343323767,371,,,Operational,,,,,,,,,,,,1365,5.44,35.4
,,,Kenya,Marsabit,,,,Maikona Girls Sch,2.9568623690725686,37.629708757935965,416,14,,No Power,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Maikona,2.957445280656852,37.66253494556867,411,,,No Power,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Maikona,2.926332132920585,37.632921562857774,372,,,Not Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kargi,2.4394676150762065,37.96904872477924,933,,,Dry,,,,,8/1/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Dahane/Kargi,2.5254626869645174,37.63489372477397,430,,,Operational,,,,,8/11/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Hadadi/Kargi,2.5042995375417294,37.56849643,430,,,Operational,,,,,,,,,,,,1250,3.03,33.7
,,,Kenya,Marsabit,,,,Rongumo/ Kargi,2.494984099346747,37.55223932341031,437,10,,Operational,,,,,,,,,,,,6170,7.07,31.8
,,,Kenya,Marsabit,,,,Ririma/Kargi,2.397705791205294,37.48722679205211,452,2,,Operational,,,,,,,,,,,,1840,3.12,32.4
,,,Kenya,Marsabit,,,,Nahagan/Kargi,2.5118504654595544,37.56752601711603,425,,,Operational,,,,,,,,,,,,,,
,C3960,,Kenya,Marsabit,,,,Elegela/Kargi,2.492950909291016,37.57861618576391,408,,,Not Operational,,,,,8/11/2014,,,,,,,,,
,,,Kenya,Marsabit,,,,Shurr,2.1323061955458003,38.27449662,390,20,,Operational,,,,,,,,,,,,602,2.58,30.2
,,,Kenya,Marsabit,,,,Awaiye/shurr,1.865604511821242,38.46880888941982,333,30,,Operational,,,,,,,,,,,,750,3.12,29.9
,,,Kenya,Marsabit,,,,Bulelaisa/shurr,2.217969346342168,38.69399066670135,360,20,,Operational,,,,,,,,,,,,1642,8.42,34
,,,Kenya,Marsabit,,,,Kachacha/ Dirigimbo,2.289725163910145,38.06051452,981,,,Operational,,,,,,,,,,,,,,
,C4583,,Kenya,Marsabit,,,,Kachacha/ Dirigimbo,2.2896890334692035,38.06059547385813,980,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kachacha/ Dirigimbo,2.289924761191256,38.06140466060274,973,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Qubi Bagasa,2.286634030109753,38.07834899438226,889,4,,Operational,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Kachacha,2.2946018610818006,38.08977369634756,845,,,Dry,,,,,,,,,,,,,,
,,,Kenya,Marsabit,,,,Dololo Dokate,2.266289560291386,38.19934089876201,577,3.6,,Operational,,,,,,,,,,,,624,2.78,32.5
,,,Kenya,Marsabit,,,,Jadesa,2.228261563248102,38.14008269658103,594,,,Dry,,,,,10/29/2014,,,,,,,,,
