well_id,original_id,name,country,admin_1,admin_2,admin_3,admin_4,locality,latitude,longitude,elevation,yield,well_depth,operation_status,drilling_end_date,source_1,source_2,source_3,last_update
,11648845060,,,,,,,,-2.49674,40.24719,-17.5,,,operational,,,,,
,6972597422,,,,,,,Kimondis,0.51048,35.86883,,,,,,,,,
,6979225376,,,,,,,Mwotot,1.24936,35.11409,,,,,,,,,
,11364910287,,,Garissa,,,,,0.80036,39.46359,,,,operational,,,,,
,11364910294,,,Garissa,,,,,0.41994,39.40351,,,,under_construction,,,,,
,11364910302,,,Garissa,,,,,0.0762,40.09724,,,,operational,,,,,
,11612976578,,,,,,,,0.09012,34.02742,1119,,,,,,,,
,11612976594,,,,,,,,0.08435,33.97788,1100.5,,,,,,,,
,11612976621,,,,,,,,0.08278,34.04644,1170.9,,,,,,,,
,11612976636,,,,,,,,0.15792,33.98895,1149.32,,,,,,,,
,11612980288,,,,,,,,0.13735,34.01401,1192.7,,,,,,,,
,11612980294,,,,,,,,0.00299,34.01978,1115.71,,,,,,,,
,11612980297,,,,,,,,0.12214,34.07021,1143.69,,,,,,,,
,11612980335,,,,,,,,0.08823,34.05566,1120.38,,,,,,,,
,11612980353,,,,,,,,0.06703,33.99182,1147.1,,,,,,,,
,11612980363,,,,,,,,0.13793,34.04725,1159,,,,,,,,
,11648845053,,,,,,,,-1.93985,40.15562,10.5,,,operational,,,,,
,11648878493,,,,,,,,-0.79935,39.81173,140.3,,,operational,,,,,
,11648878586,,,,,,,,-1.99519,40.14988,-12.4,,,operational,,,,,
,11648878596,,,,,,,,-1.99259,40.14792,2.2,,,needs maintenance,,,,,
,11664742095,,,,,,,,-3.18957,39.98366,7.5,,,operational,,,,,
,11664742097,,,,,,,,-3.13668,39.92379,52.1,,,operational,,,,,
,11664742103,,,,,,,,-3.12326,39.89036,54.8,,,operational,,,,,
,11664742141,,,,,,,,-3.13049,39.93516,41.8,,,operational,,,,,
,11664742163,,,,,,,,-3.12729,39.89659,51.3,,,operational,,,,,
,11099499314,,,,,,,,2.49543,39.56784,,,,operational,,,,,
,11128715648,,,,,,,,3.75475,34.74121,,,,,,,,,
,11364872363,,,Garissa,,,,,0.42127,39.40201,,,,under_construction,,,,,
,11364910317,,,Garissa,,,,,0.90975,39.29933,,,,operational,,,,,
,11364910328,,,Garissa,,,,,0.65555,39.57984,,,,operational,,,,,
,11612976598,,,,,,,,0.06379,33.98295,1114.38,,,,,,,,
,11612976617,,,,,,,,0.12007,34.0324,1134.85,,,,,,,,
,11612976618,,,,,,,,0.08527,34.02209,1126,,,,,,,,
,11612976627,,,,,,,,0.06154,34.017,1121.97,,,,,,,,
,11612976642,,,,,,,,0.11583,34.00028,1158.45,,,,,,,,
,11612976656,,,,,,,,0.12464,34.0703,1108.12,,,,,,,,
,11612976658,,,,,,,,0.08606,34.02186,1111,,,,,,,,
,11612980284,,,,,,,,0.14207,34.02121,1125,,,,,,,,
,11612980299,,,,,,,,0.08587,34.02204,1123,,,,,,,,
,11612980304,,,,,,,,0.0655,34.04382,1134.51,,,,,,,,
,11612980352,,,,,,,,0.1473,34.07465,1151,,,,,,,,
,11612980354,,,,,,,,0.07986,34.02149,1132,,,,,,,,
,11612980355,,,,,,,,0.10627,34.00044,1141,,,,,,,,
,11612980365,,,,,,,,0.08714,33.96701,1131.27,,,,,,,,
,11612980366,,,,,,,,0.13508,34.0295,1131.95,,,,,,,,
,11648845042,,,,,,,,-2.3771,40.15196,32,,,operational,,,,,
,11648845047,,,,,,,,-2.02932,40.15879,5.2,,,needs maintenance,,,,,
,11648845049,,,,,,,,-2.03499,40.16591,5.3,,,needs maintenance,,,,,
,11648845050,,,,,,,,-2.13196,40.18387,6.41,,,operational,,,,,
,11648845051,,,,,,,,-0.46366,39.63107,178.3,,,operational,,,,,
,11648845052,,,,,,,,-2.13725,40.17493,9.36,,,operational,,,,,
,11648845054,,,,,,,,-2.12045,40.16674,-52.4,,,operational,,,,,
,11648845057,,,,,,,,-2.15464,40.18359,-4.08,,,operational,,,,,
,11648845059,,,,,,,,-2.2114,40.1771,-10.79,,,needs maintenance,,,,,
,11648845065,,,,,,,,-2.06529,40.16137,-5.5,,,needs maintenance,,,,,
,11648845068,,,,,,,,-2.15346,40.18547,-16.52,,,operational,,,,,
,11648878469,,,,,,,,-2.21005,40.1779,-90.36,,,operational,,,,,
,11648878470,,,,,,,,-2.06473,40.16639,-16.1,,,needs maintenance,,,,,
,11648878471,,,,,,,,-2.15283,40.18415,3.71,,,operational,,,,,
,11648878472,,,,,,,,-2.3513,40.14184,22.7,,,needs maintenance,,,,,
,11648878477,,,,,,,,-2.02867,40.15863,7.2,,,needs maintenance,,,,,
,11648878479,,,,,,,,-2.03491,40.16234,7.4,,,needs maintenance,,,,,
,11648878480,,,,,,,,-2.13189,40.18389,7.36,,,operational,,,,,
,11648878481,,,,,,,,-2.23412,40.17942,-19.19,,,operational,,,,,
,11648878482,,,,,,,,-0.46719,39.63094,154.8,,,needs maintenance,,,,,
,11648878485,,,,,,,,-2.06108,40.17009,-4.7,,,operational,,,,,
,11648878486,,,,,,,,-2.12641,40.18365,-14.7,,,operational,,,,,
,11648878487,,,,,,,,-2.14921,40.18485,37.84,,,operational,,,,,
,11648878495,,,,,,,,-2.06582,40.16141,-7.7,,,operational,,,,,
,11648878514,,,,,,,,-1.91028,40.12661,-2.3,,,operational,,,,,
,11648878517,,,,,,,,-2.49737,40.33713,-26.01,,,,,,,,
,11648878554,,,,,,,,-0.8504,39.83272,127.3,,,needs maintenance,,,,,
,11648878591,,,,,,,,-2.23425,40.17845,-0.7,,,operational,,,,,
,11648878592,,,,,,,,-2.06402,40.16119,-6.9,,,operational,,,,,
,11648878593,,,,,,,,-2.15267,40.18423,3.2,,,operational,,,,,
,11648878595,,,,,,,,-2.06472,40.1622,-5.3,,,needs maintenance,,,,,
,11664720063,,,,,,,,-3.2077,40.01057,39.5,,,needs_maintenance,,,,,
,11664742112,,,,,,,,-3.13753,39.89927,31.3,,,closed,,,,,
,11664742120,,,,,,,,-3.17917,39.99405,48.4,,,operational,,,,,
,11664742138,,,,,,,,-3.21937,39.99808,35.87,,,operational,,,,,
,11802168104,,,,,,,,-1.26556,36.85413,,,,non-operational,,,,,
,11802168111,,,,,,,,-1.26541,36.85516,,,,non-operational,,,,,
,11802168113,,,,,Mabatini Ward,,,-1.26107,36.86332,,,,operational,,,,,
,11612976581,,,,,,,,0.12442,34.05848,1128.37,,,,,,,,
,11612976585,,,,,,,,0.06829,33.99338,1135.7,,,,,,,,
,11612976588,,,,,,,,0.00896,34.01336,1156.94,,,,,,,,
,11612976593,,,,,,,,0.08162,34.04122,1116.17,,,,,,,,
,11612976600,,,,,,,,0.05973,34.04576,1135.89,,,,,,,,
,11612976613,,,,,,,,0.1296,34.08287,1164.9,,,,,,,,
,11612976625,,,,,,,,0.12482,34.05497,1154.37,,,,,,,,
,11612976637,,,,,,,,0.08398,34.0315,1113.02,,,,,,,,
,11612976640,,,,,,,,0.13947,34.02838,1132.79,,,,,,,,
,11612976641,,,,,,,,0.08775,34.02553,1148.44,,,,,,,,
,11612976649,,,,,,,,0.03107,34.02315,1129.34,,,,,,,,
,11612976652,,,,,,,,0.08365,34.05954,1131.78,,,,,,,,
,11612976659,,,,,,,,0.12311,34.05215,1168.96,,,,,,,,
,11612976664,,,,,,,,0.09077,34.02835,1127.99,,,,,,,,
,11612976665,,,,,,,,0.12529,34.05821,1134.9,,,,,,,,
,11612980276,,,,,,,,0.15966,34.00514,1137.98,,,,,,,,
,11612980277,,,,,,,,0.07863,34.0322,1084.35,,,,,,,,
,11612980280,,,,,,,,0.08219,33.9943,1175.7,,,,,,,,
,11612980292,,,,,,,,0.08825,34.05982,1106.13,,,,,,,,
,11612980300,,,,,,,,0.12118,34.05242,1137.4,,,,,,,,
,11612980306,,,,,,,,0.09076,34.02808,1133.36,,,,,,,,
,11612980307,,,,,,,,0.12241,34.05685,1168.79,,,,,,,,
,11612980311,,,,,,,,0.07045,33.98999,1008.7,,,,,,,,
,11612980314,,,,,,,,0.08499,33.97124,1140,,,,,,,,
,11612980327,,,,,,,,0.08376,34.0406,1135.68,,,,,,,,
,11612980329,,,,,,,,0.05149,33.99288,1125.78,,,,,,,,
,11612980334,,,,,,,,0.12564,34.02791,1147.34,,,,,,,,
,11612980337,,,,,,,,0.01537,34.00769,1486.6,,,,,,,,
,11612980340,,,,,,,,0.12397,34.07031,1133.09,,,,,,,,
,11612980345,,,,,,,,0.08289,34.04575,1136.8,,,,,,,,
,11612980348,,,,,,,,0.0902,34.02457,1143.77,,,,,,,,
,11612980361,,,,,,,,0.07982,34.04389,1125.8,,,,,,,,
,11612980368,,,,,,,,0.06511,34.04173,1128,,,,,,,,
,11612980371,,,,,,,,0.05001,33.99386,1142.67,,,,,,,,
,11612980378,,,,,,,,0.01217,34.01065,1282.8,,,,,,,,
,11612980380,,,,,,,,0.08566,34.05792,1147.4,,,,,,,,
,11612980381,,,,,,,,0.12545,34.06666,1131.1,,,,,,,,
,11612976574,,,,,,,,0.08599,34.02086,1126,,,,,,,,
,11612976575,,,,,,,,0.12415,34.04353,1143.71,,,,,,,,
,11612976576,,,,,,,,0.1219,34.04261,1124.17,,,,,,,,
,11612976577,,,,,,,,0.08559,34.02079,1120,,,,,,,,
,11612976579,,,,,,,,0.08733,33.99183,1135,,,,,,,,
,11612976582,,,,,,,,0.07394,34.0003,1133,,,,,,,,
,11612976584,,,,,,,,0.09586,33.97622,1145.8,,,,,,,,
,11612976586,,,,,,,,0.08305,34.01961,1129,,,,,,,,
,11612976587,,,,,,,,0.10212,33.9974,1141,,,,,,,,
,11612976589,,,,,,,,0.1032,34.04668,1115.85,,,,,,,,
,11612976590,,,,,,,,0.08782,34.05478,1146.48,,,,,,,,
,11612976591,,,,,,,,0.11761,34.03438,1061.7,,,,,,,,
,11612976596,,,,,,,,0.08517,34.02914,1126.39,,,,,,,,
,11612976597,,,,,,,,0.08637,33.96434,1122.84,,,,,,,,
,11612976603,,,,,,,,0.05648,33.99264,1130.14,,,,,,,,
,11612976604,,,,,,,,0.09217,34.03383,1155.78,,,,,,,,
,11612976605,,,,,,,,0.12753,34.04207,1119.79,,,,,,,,
,11612976612,,,,,,,,0.10837,34.06679,1144.8,,,,,,,,
,11612976615,,,,,,,,0.08652,34.01404,1132,,,,,,,,
,11612976619,,,,,,,,0.12459,34.05363,1118.73,,,,,,,,
,11612976620,,,,,,,,0.09845,34.01595,1122.2,,,,,,,,
,11612976622,,,,,,,,0.0879,33.96944,1129.76,,,,,,,,
,11612976623,,,,,,,,0.07533,33.99976,1111.5,,,,,,,,
,11612976626,,,,,,,,0.07638,33.99244,1119,,,,,,,,
,11612976629,,,,,,,,0.08462,33.99308,1132.37,,,,,,,,
,11612976630,,,,,,,,0.09467,34.0387,1129.1,,,,,,,,
,11612976631,,,,,,,,0.08503,34.06422,1129.69,,,,,,,,
,11612976634,,,,,,,,0.08309,34.03679,1111.31,,,,,,,,
,11612976635,,,,,,,,0.08798,33.97249,1134,,,,,,,,
,11612976639,,,,,,,,0.08584,33.9958,1167.2,,,,,,,,
,11612976644,,,,,,,,-0.02649,34.0168,1121.16,,,,,,,,
,11612976645,,,,,,,,0.09295,34.03655,1132.33,,,,,,,,
,11612976646,,,,,,,,0.13337,34.04157,1117.19,,,,,,,,
,11612976647,,,,,,,,0.12978,34.02804,1124.2,,,,,,,,
,11612976648,,,,,,,,0.05866,33.9934,1134.86,,,,,,,,
,11612976651,,,,,,,,0.13185,34.02984,1155.16,,,,,,,,
,11612976653,,,,,,,,0.12789,34.0836,1155.4,,,,,,,,
,11612976655,,,,,,,,0.08629,34.01647,1120,,,,,,,,
,11612976660,,,,,,,,0.10368,34.01856,1128.9,,,,,,,,
,11612976661,,,,,,,,0.08579,34.02407,1125,,,,,,,,
,11612976663,,,,,,,,0.07818,33.99976,1124.8,,,,,,,,
,11612976666,,,,,,,,0.08316,34.00532,1206.9,,,,,,,,
,11612980269,,,,,,,,0.08662,33.99484,1164.68,,,,,,,,
,11612980270,,,,,,,,0.09968,34.04671,1138.09,,,,,,,,
,11612980271,,,,,,,,0.08306,33.97296,1137.7,,,,,,,,
,11612980274,,,,,,,,0.08484,34.03447,1168.16,,,,,,,,
,11612980275,,,,,,,,0.09763,34.02904,1130.1,,,,,,,,
,11612980281,,,,,,,,0.08015,34.04482,1141.6,,,,,,,,
,11612980282,,,,,,,,0.12303,34.00349,1126.67,,,,,,,,
,11612980283,,,,,,,,0.05878,33.99164,1123.54,,,,,,,,
,11612980285,,,,,,,,0.09724,34.04388,1137.61,,,,,,,,
,11612980286,,,,,,,,0.12742,34.07277,1140.34,,,,,,,,
,11612980289,,,,,,,,0.10829,34.05802,1144.3,,,,,,,,
,11612980296,,,,,,,,0.08604,34.0166,1115,,,,,,,,
,11612980301,,,,,,,,0.10591,34.04054,1133.39,,,,,,,,
,11612980303,,,,,,,,0.08502,34.02215,1119,,,,,,,,
,11612980305,,,,,,,,0.04105,33.99532,1137.9,,,,,,,,
,11612980309,,,,,,,,0.13445,34.08443,1136.23,,,,,,,,
,11612980312,,,,,,,,0.10029,34.04961,1134.86,,,,,,,,
,11612980313,,,,,,,,0.0852,33.97327,1140.7,,,,,,,,
,11612980316,,,,,,,,0.10713,34.05761,1126.9,,,,,,,,
,11612980317,,,,,,,,0.09942,34.03445,1127.3,,,,,,,,
,11612980322,,,,,,,,0.08455,33.99761,1277.7,,,,,,,,
,11612980323,,,,,,,,0.08501,34.04684,1126.6,,,,,,,,
,11612980325,,,,,,,,0.13321,34.04189,1130.45,,,,,,,,
,11612980326,,,,,,,,0.06749,33.98529,1125.53,,,,,,,,
,11612980331,,,,,,,,0.09364,34.03617,1158.68,,,,,,,,
,11612980332,,,,,,,,0.12536,34.05217,1123.03,,,,,,,,
,11612980333,,,,,,,,0.03924,33.9961,1133,,,,,,,,
,11612980336,,,,,,,,0.11639,34.0221,1123.96,,,,,,,,
,11612980338,,,,,,,,0.16079,34.01964,1177,,,,,,,,
,11612980339,,,,,,,,0.08528,34.0168,1117,,,,,,,,
,11612980342,,,,,,,,0.08891,34.02185,1117,,,,,,,,
,11612980343,,,,,,,,0.12223,34.04211,1203.96,,,,,,,,
,11612980344,,,,,,,,0.11026,34.04126,1129.69,,,,,,,,
,11612980347,,,,,,,,0.06388,33.98547,1116.1,,,,,,,,
,11612980349,,,,,,,,0.12134,34.05666,1114.63,,,,,,,,
,11612980350,,,,,,,,0.08641,34.01006,1154.6,,,,,,,,
,11612980351,,,,,,,,0.10548,34.05769,1136,,,,,,,,
,11612980356,,,,,,,,0.12997,34.06372,1137.03,,,,,,,,
,11612980357,,,,,,,,0.08591,34.01298,1129,,,,,,,,
,11612980358,,,,,,,,0.10544,34.05645,1121.1,,,,,,,,
,11612980359,,,,,,,,0.11093,34.03717,1115.7,,,,,,,,
,11612980362,,,,,,,,0.08729,33.95721,1157.26,,,,,,,,
,11612980364,,,,,,,,0.08504,34.02817,1126.27,,,,,,,,
,11612980367,,,,,,,,0.06362,33.98499,1110.14,,,,,,,,
,11612980372,,,,,,,,0.09096,34.03438,1155.67,,,,,,,,
,11612980373,,,,,,,,0.12179,34.04926,1127.04,,,,,,,,
,11612980374,,,,,,,,0.0822,34.00186,1143.94,,,,,,,,
,11364872355,,,Garissa,,,,,0.65488,39.5789,,,,operational,,,,,
,11364910270,,,Garissa,,,,,0.65678,39.57963,,,,operational,,,,,
,11364910271,,,Garissa,,,,,-0.50801,39.67401,,,,operational,,,,,
,11364910289,,,Garissa,,,,,0.07636,40.09702,,,,operational,,,,,
,11364910305,,,Garissa,,,,,0.07591,40.09647,,,,operational,,,,,
,11364910308,,,Garissa,,,,,0.655,39.5797,,,,operational,,,,,
